,sim_num,method,lambda,snr_n,snr_s,Distance,R2_X1,R2_X2,R2_Y
0,0,DeESI_raw,0.5,20,20,0.0,0.7513664944062941,0.17399643822749988,0.13707862101016488
1,0,DeESI_debias,0.5,20,20,0.0,0.39412704197889026,0.9514451209105106,0.28625711681590427
2,0,DeESI_std,0.5,20,20,0.0,,,
3,0,DeESI_rawselected_debias,0.5,20,20,0.0,0.39412704197889026,0.9514451209105106,0.28625711681590427
4,0,DeESI_raw,0.4,20,20,0.0,0.8550486209314521,0.46131319454885655,0.2487569523262535
5,0,DeESI_debias,0.4,20,20,0.0,0.39412704197889026,0.9514451209105106,0.28625711681590427
6,0,DeESI_std,0.4,20,20,0.0,,,
7,0,DeESI_rawselected_debias,0.4,20,20,0.0,0.39412704197889026,0.9514451209105106,0.28625711681590427
8,0,DeESI_raw,0.3,20,20,0.0,0.5538376446698536,0.9086084273500425,0.2953972358906072
9,0,DeESI_debias,0.3,20,20,0.0,0.39392880092081195,0.9516279206242039,0.28559378017111403
10,0,DeESI_std,0.3,20,20,0.0,,,
11,0,DeESI_rawselected_debias,0.3,20,20,0.0,0.39392880092081306,0.9516279206242039,0.28559378017111425
12,0,DeESI_raw,0.2,20,20,0.0,0.5831443795091831,0.9398620087476119,0.33591374233309046
13,0,DeESI_debias,0.2,20,20,47.59442075386086,-1.7395016764420488,-7.028096685208192,0.40332707478577956
14,0,DeESI_std,0.2,20,20,0.0,,,
15,0,DeESI_rawselected_debias,0.2,20,20,0.0,0.39435817404647755,0.9517901675035145,0.28501056640983236
